# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   21   |   5 |    1   | 62000d
      0    |   21   |   6 |    2   | 62000d 62001d
      0    |   21   |   7 |    2   | 62000d 62001d
      0    |   21   |   8 |    2   | 62000d 62001d
      0    |   21   |   9 |    2   | 62000d 62001d
      0    |   21   |  10 |    1   | 62001d
      0    |   21   |  11 |    1   | 62001d
      0    |   21   |  12 |    2   | 62001d 62002d
      0    |   21   |  13 |    2   | 62001d 62002d
      0    |   21   |  14 |    2   | 62001d 62002d
      0    |   21   |  15 |    2   | 62001d 62002d
      0    |   21   |  16 |    2   | 62002d 64000d
      0    |   21   |  17 |    2   | 62002d 64000d

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
